$ hermes skills list
exit=0

STDOUT:
                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━┓
┃ Name                    ┃ Category             ┃ Source  ┃ Trust   ┃ Status  ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━┩
│ yuanbao                 │                      │ local   │ local   │ enabled │
│ claude-code             │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ codex                   │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ computer-use            │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ hermes-agent            │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ merge-reconciler        │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ multi-agent-mesh        │ autonomous-ai-agents │ local   │ local   │ enabled │
│ opencode                │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ architecture-diagram    │ creative             │ builtin │ builtin │ enabled │
│ ascii-art               │ creative             │ builtin │ builtin │ enabled │
│ ascii-video             │ creative             │ builtin │ builtin │ enabled │
│ baoyu-infographic       │ creative             │ builtin │ builtin │ enabled │
│ claude-design           │ creative             │ builtin │ builtin │ enabled │
│ comfyui                 │ creative             │ builtin │ builtin │ enabled │
│ design-md               │ creative             │ builtin │ builtin │ enabled │
│ excalidraw              │ creative             │ builtin │ builtin │ enabled │
│ humanizer               │ creative             │ builtin │ builtin │ enabled │
│ manim-video             │ creative             │ builtin │ builtin │ enabled │
│ p5js                    │ creative             │ builtin │ builtin │ enabled │
│ popular-web-designs     │ creative             │ builtin │ builtin │ enabled │
│ pretext                 │ creative             │ builtin │ builtin │ enabled │
│ sketch                  │ creative             │ builtin │ builtin │ enabled │
│ songwriting-and-ai-mus… │ creative             │ builtin │ builtin │ enabled │
│ touchdesigner-mcp       │ creative             │ builtin │ builtin │ enabled │
│ jupyter-live-kernel     │ data-science         │ local   │ local   │ enabled │
│ email-inbox-triage      │ email                │ builtin │ builtin │ enabled │
